Phrase1,Phrase2,Similarity
what is the detailed income statement breakdown of Axa?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.47541904
what is the detailed income statement breakdown of Axa?,Which are the main distribution channels in India?,0.45534903
what is the detailed income statement breakdown of Axa?,What are the risks in the motor insurance segment in India?,0.5685357
what is the detailed income statement breakdown of Axa?,What is the demand potential of India for insurance?,0.51592994
what is the detailed income statement breakdown of Axa?,How do premiums break down by lines of business in India?,0.4877832
what is the detailed income statement breakdown of Axa?,What is the share price of Qantas?,0.5746763
what is the detailed income statement breakdown of Axa?,How many passengers are carried in ?,0.36902463
what is the detailed income statement breakdown of Axa?,Which are the aircrafts manufactured by Boeing?,0.3680675
what is the detailed income statement breakdown of Axa?,Kdo je nejv?tí konkurent ?eské Poji?ovny?,0.048135944
what is the detailed income statement breakdown of Axa?,Which are the top airports?,0.42114028
what is the detailed income statement breakdown of Axa?,How many fatal air accidents till date?,0.27198148
what is the detailed income statement breakdown of Axa?,What is the flow of air traffic in North America?,0.4337032
what is the detailed income statement breakdown of Axa?,What is the fleet of Airbus?,0.50518835
what is the detailed income statement breakdown of Axa?,Airlines profitability Brazil?,0.15945925
what is the detailed income statement breakdown of Axa?,Mergers among airline companies?,0.18599418
what is the detailed income statement breakdown of Axa?,Which are the most profitable airports?,0.45229864
what is the detailed income statement breakdown of Axa?,What has the capacity movement of airline companies been over the years?,0.47404408
what is the detailed income statement breakdown of Axa?,Details of the Aban Abraham oil rig?,0.35803783
what is the detailed income statement breakdown of Axa?,How big is the airlines industry in China?,0.43204272
what is the detailed income statement breakdown of Axa?,How much money did Lloyd's of London make last year?,0.4387703
what is the detailed income statement breakdown of Axa?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.46970624
what is the detailed income statement breakdown of Axa?,Which Lloyd's syndicates owns the maximum number of assets?,0.40726307
what is the detailed income statement breakdown of Axa?,List key performance indicators for AXA?,0.42289528
what is the detailed income statement breakdown of Axa?,What are the most prominent legal cases?,0.49738482
what is the detailed income statement breakdown of Axa?,How does oil industry perform in Brazil?,0.41250348
what is the detailed income statement breakdown of Axa?,What is the main driver of growth in automobile industry in Europe?,0.5186683
what is the detailed income statement breakdown of Axa?,Which country in Europe is going to grow the most in 2020?,0.4958483
what is the detailed income statement breakdown of Axa?,What are the biggest acquisitions in 2020?,0.4612233
what is the detailed income statement breakdown of Axa?,How impacted is the airline industry in 2020?,0.46540913
what is the detailed income statement breakdown of Axa?,What are the most prominent bankruptcies in 2020?,0.47977382
world premium penetration in 2020,How does the forecasted insurance premium penetration in country trend compare to its peers?,0.7211782
world premium penetration in 2020,what are the total losses for companies in country  non life market?,0.46942633
world premium penetration in 2020,Insurance premiums market in Country,0.45965332
world premium penetration in 2020,"How have the profit margins been for the airlines industry through the years, by regions?",0.44611984
world premium penetration in 2020,What is the complete profile of the top oil rigs?,0.3884156
world premium penetration in 2020,what is company general information?,0.35153764
world premium penetration in 2020,How is the airline industry performing globally?,0.36990088
world premium penetration in 2020,how does economic profit for in country compare to others?,0.37447244
world premium penetration in 2020,most profitable insurance company India,0.51443565
world premium penetration in 2020,Give me a detailed breakup of the income and expenses in South-East Asia,0.3595862
world premium penetration in 2020,Show me all the oil rigs in the world,0.4092592
world premium penetration in 2020,What were the premiums earned by the Indian insurance industry in 2020?,0.48407245
world premium penetration in 2020,How much have premiums grown as compared to claims for India?,0.4374022
world premium penetration in 2020,Which are the best performing insurance firms in India?,0.43366605
world premium penetration in 2020,What is the ROE of the Indian market?,0.36746478
world premium penetration in 2020,What profits were clocked by Cholamandalam in 2020?,0.41697788
world premium penetration in 2020,What is the premiums market share of the top 5 companies in India?,0.60703844
world premium penetration in 2020,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.46640292
world premium penetration in 2020,Which are the main distribution channels in India?,0.4488796
world premium penetration in 2020,What are the risks in the motor insurance segment in India?,0.5112059
world premium penetration in 2020,What is the demand potential of India for insurance?,0.48771504
world premium penetration in 2020,How do premiums break down by lines of business in India?,0.42522544
world premium penetration in 2020,What is the share price of Qantas?,0.4661284
world premium penetration in 2020,How many passengers are carried in ?,0.3046844
world premium penetration in 2020,Which are the aircrafts manufactured by Boeing?,0.32368484
world premium penetration in 2020,Kdo je nejv?tí konkurent ?eské Poji?ovny?,0.025512258
world premium penetration in 2020,Which are the top airports?,0.33999395
world premium penetration in 2020,How many fatal air accidents till date?,0.2326251
world premium penetration in 2020,What is the flow of air traffic in North America?,0.39338028
world premium penetration in 2020,What is the fleet of Airbus?,0.3314507
world premium penetration in 2020,Airlines profitability Brazil?,0.23633465
world premium penetration in 2020,Mergers among airline companies?,0.23613301
world premium penetration in 2020,Which are the most profitable airports?,0.38773414
world premium penetration in 2020,What has the capacity movement of airline companies been over the years?,0.4305972
world premium penetration in 2020,Details of the Aban Abraham oil rig?,0.17212829
world premium penetration in 2020,How big is the airlines industry in China?,0.399318
world premium penetration in 2020,How much money did Lloyd's of London make last year?,0.2339156
world premium penetration in 2020,What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.31160533
world premium penetration in 2020,Which Lloyd's syndicates owns the maximum number of assets?,0.36320752
world premium penetration in 2020,List key performance indicators for AXA?,0.25417835
world premium penetration in 2020,What are the most prominent legal cases?,0.2989569
world premium penetration in 2020,How does oil industry perform in Brazil?,0.35447243
world premium penetration in 2020,What is the main driver of growth in automobile industry in Europe?,0.4947834
world premium penetration in 2020,Which country in Europe is going to grow the most in 2020?,0.5259162
world premium penetration in 2020,What are the biggest acquisitions in 2020?,0.41974166
world premium penetration in 2020,How impacted is the airline industry in 2020?,0.3899923
world premium penetration in 2020,What are the most prominent bankruptcies in 2020?,0.367821
How does the forecasted insurance premium penetration in country trend compare to its peers?,what are the total losses for companies in country  non life market?,0.63342226
How does the forecasted insurance premium penetration in country trend compare to its peers?,Insurance premiums market in Country,0.56752884
How does the forecasted insurance premium penetration in country trend compare to its peers?,"How have the profit margins been for the airlines industry through the years, by regions?",0.6175151
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the complete profile of the top oil rigs?,0.5772182
How does the forecasted insurance premium penetration in country trend compare to its peers?,what is company general information?,0.5033634
How does the forecasted insurance premium penetration in country trend compare to its peers?,How is the airline industry performing globally?,0.59613097
How does the forecasted insurance premium penetration in country trend compare to its peers?,how does economic profit for in country compare to others?,0.6888827
How does the forecasted insurance premium penetration in country trend compare to its peers?,most profitable insurance company India,0.5878037
How does the forecasted insurance premium penetration in country trend compare to its peers?,Give me a detailed breakup of the income and expenses in South-East Asia,0.5162969
How does the forecasted insurance premium penetration in country trend compare to its peers?,Show me all the oil rigs in the world,0.46895856
How does the forecasted insurance premium penetration in country trend compare to its peers?,What were the premiums earned by the Indian insurance industry in 2020?,0.67590106
How does the forecasted insurance premium penetration in country trend compare to its peers?,How much have premiums grown as compared to claims for India?,0.6841259
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the best performing insurance firms in India?,0.6346389
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the ROE of the Indian market?,0.57357115
How does the forecasted insurance premium penetration in country trend compare to its peers?,What profits were clocked by Cholamandalam in 2020?,0.52564174
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the premiums market share of the top 5 companies in India?,0.7431432
How does the forecasted insurance premium penetration in country trend compare to its peers?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.71651334
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the main distribution channels in India?,0.5521618
How does the forecasted insurance premium penetration in country trend compare to its peers?,What are the risks in the motor insurance segment in India?,0.6953162
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the demand potential of India for insurance?,0.6344111
How does the forecasted insurance premium penetration in country trend compare to its peers?,How do premiums break down by lines of business in India?,0.6705446
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the share price of Qantas?,0.6153033
How does the forecasted insurance premium penetration in country trend compare to its peers?,How many passengers are carried in ?,0.5097492
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the aircrafts manufactured by Boeing?,0.44097215
How does the forecasted insurance premium penetration in country trend compare to its peers?,Kdo je nejv?tí konkurent ?eské Poji?ovny?,0.076410264
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the top airports?,0.49751455
How does the forecasted insurance premium penetration in country trend compare to its peers?,How many fatal air accidents till date?,0.42630282
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the flow of air traffic in North America?,0.5247158
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the fleet of Airbus?,0.5437418
How does the forecasted insurance premium penetration in country trend compare to its peers?,Airlines profitability Brazil?,0.31092113
How does the forecasted insurance premium penetration in country trend compare to its peers?,Mergers among airline companies?,0.29420772
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which are the most profitable airports?,0.5406307
How does the forecasted insurance premium penetration in country trend compare to its peers?,What has the capacity movement of airline companies been over the years?,0.5802745
How does the forecasted insurance premium penetration in country trend compare to its peers?,Details of the Aban Abraham oil rig?,0.25884372
How does the forecasted insurance premium penetration in country trend compare to its peers?,How big is the airlines industry in China?,0.6227205
How does the forecasted insurance premium penetration in country trend compare to its peers?,How much money did Lloyd's of London make last year?,0.5200791
How does the forecasted insurance premium penetration in country trend compare to its peers?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.5222206
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which Lloyd's syndicates owns the maximum number of assets?,0.4876188
How does the forecasted insurance premium penetration in country trend compare to its peers?,List key performance indicators for AXA?,0.40879595
How does the forecasted insurance premium penetration in country trend compare to its peers?,What are the most prominent legal cases?,0.45801735
How does the forecasted insurance premium penetration in country trend compare to its peers?,How does oil industry perform in Brazil?,0.6422808
How does the forecasted insurance premium penetration in country trend compare to its peers?,What is the main driver of growth in automobile industry in Europe?,0.6227149
How does the forecasted insurance premium penetration in country trend compare to its peers?,Which country in Europe is going to grow the most in 2020?,0.6606761
How does the forecasted insurance premium penetration in country trend compare to its peers?,What are the biggest acquisitions in 2020?,0.56264484
How does the forecasted insurance premium penetration in country trend compare to its peers?,How impacted is the airline industry in 2020?,0.6421267
How does the forecasted insurance premium penetration in country trend compare to its peers?,What are the most prominent bankruptcies in 2020?,0.52673984
what are the total losses for companies in country  non life market?,Insurance premiums market in Country,0.3963096
what are the total losses for companies in country  non life market?,"How have the profit margins been for the airlines industry through the years, by regions?",0.73377407
what are the total losses for companies in country  non life market?,What is the complete profile of the top oil rigs?,0.602017
what are the total losses for companies in country  non life market?,what is company general information?,0.58111584
what are the total losses for companies in country  non life market?,How is the airline industry performing globally?,0.5844994
what are the total losses for companies in country  non life market?,how does economic profit for in country compare to others?,0.68549526
what are the total losses for companies in country  non life market?,most profitable insurance company India,0.5473752
what are the total losses for companies in country  non life market?,Give me a detailed breakup of the income and expenses in South-East Asia,0.58019006
what are the total losses for companies in country  non life market?,Show me all the oil rigs in the world,0.6013061
what are the total losses for companies in country  non life market?,What were the premiums earned by the Indian insurance industry in 2020?,0.6982082
what are the total losses for companies in country  non life market?,How much have premiums grown as compared to claims for India?,0.61244464
what are the total losses for companies in country  non life market?,Which are the best performing insurance firms in India?,0.72276485
what are the total losses for companies in country  non life market?,What is the ROE of the Indian market?,0.5476301
what are the total losses for companies in country  non life market?,What profits were clocked by Cholamandalam in 2020?,0.61709905
what are the total losses for companies in country  non life market?,What is the premiums market share of the top 5 companies in India?,0.7219236
what are the total losses for companies in country  non life market?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.6305064
what are the total losses for companies in country  non life market?,Which are the main distribution channels in India?,0.6147851
what are the total losses for companies in country  non life market?,What are the risks in the motor insurance segment in India?,0.7282194
what are the total losses for companies in country  non life market?,What is the demand potential of India for insurance?,0.6476495
what are the total losses for companies in country  non life market?,How do premiums break down by lines of business in India?,0.6181308
what are the total losses for companies in country  non life market?,What is the share price of Qantas?,0.57292104
what are the total losses for companies in country  non life market?,How many passengers are carried in ?,0.58406055
what are the total losses for companies in country  non life market?,Which are the aircrafts manufactured by Boeing?,0.5641132
what are the total losses for companies in country  non life market?,Kdo je nejv?tí konkurent ?eské Poji?ovny?,0.057136226
what are the total losses for companies in country  non life market?,Which are the top airports?,0.604602
what are the total losses for companies in country  non life market?,How many fatal air accidents till date?,0.4300744
what are the total losses for companies in country  non life market?,What is the flow of air traffic in North America?,0.52499765
what are the total losses for companies in country  non life market?,What is the fleet of Airbus?,0.5373374
what are the total losses for companies in country  non life market?,Airlines profitability Brazil?,0.27293718
what are the total losses for companies in country  non life market?,Mergers among airline companies?,0.3316456
what are the total losses for companies in country  non life market?,Which are the most profitable airports?,0.6446635
what are the total losses for companies in country  non life market?,What has the capacity movement of airline companies been over the years?,0.68880963
what are the total losses for companies in country  non life market?,Details of the Aban Abraham oil rig?,0.30783534
what are the total losses for companies in country  non life market?,How big is the airlines industry in China?,0.6647923
what are the total losses for companies in country  non life market?,How much money did Lloyd's of London make last year?,0.5411854
what are the total losses for companies in country  non life market?,What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.5565284
what are the total losses for companies in country  non life market?,Which Lloyd's syndicates owns the maximum number of assets?,0.57247317
what are the total losses for companies in country  non life market?,List key performance indicators for AXA?,0.4432149
what are the total losses for companies in country  non life market?,What are the most prominent legal cases?,0.6168438
what are the total losses for companies in country  non life market?,How does oil industry perform in Brazil?,0.5437398
what are the total losses for companies in country  non life market?,What is the main driver of growth in automobile industry in Europe?,0.6577915
what are the total losses for companies in country  non life market?,Which country in Europe is going to grow the most in 2020?,0.7081228
what are the total losses for companies in country  non life market?,What are the biggest acquisitions in 2020?,0.6750674
what are the total losses for companies in country  non life market?,How impacted is the airline industry in 2020?,0.6317783
what are the total losses for companies in country  non life market?,What are the most prominent bankruptcies in 2020?,0.6752304
Insurance premiums market in Country,"How have the profit margins been for the airlines industry through the years, by regions?",0.41438535
Insurance premiums market in Country,What is the complete profile of the top oil rigs?,0.21488923
Insurance premiums market in Country,what is company general information?,0.2796011
Insurance premiums market in Country,How is the airline industry performing globally?,0.33019155
Insurance premiums market in Country,how does economic profit for in country compare to others?,0.37401766
Insurance premiums market in Country,most profitable insurance company India,0.5952708
Insurance premiums market in Country,Give me a detailed breakup of the income and expenses in South-East Asia,0.36531493
Insurance premiums market in Country,Show me all the oil rigs in the world,0.27213186
Insurance premiums market in Country,What were the premiums earned by the Indian insurance industry in 2020?,0.709296
Insurance premiums market in Country,How much have premiums grown as compared to claims for India?,0.5361112
Insurance premiums market in Country,Which are the best performing insurance firms in India?,0.5065136
Insurance premiums market in Country,What is the ROE of the Indian market?,0.31823316
Insurance premiums market in Country,What profits were clocked by Cholamandalam in 2020?,0.42833695
Insurance premiums market in Country,What is the premiums market share of the top 5 companies in India?,0.63520473
Insurance premiums market in Country,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.52268386
Insurance premiums market in Country,Which are the main distribution channels in India?,0.2400684
Insurance premiums market in Country,What are the risks in the motor insurance segment in India?,0.55959314
Insurance premiums market in Country,What is the demand potential of India for insurance?,0.27958357
Insurance premiums market in Country,How do premiums break down by lines of business in India?,0.5583187
Insurance premiums market in Country,What is the share price of Qantas?,0.3265863
Insurance premiums market in Country,How many passengers are carried in ?,0.20551845
Insurance premiums market in Country,Which are the aircrafts manufactured by Boeing?,0.19828388
Insurance premiums market in Country,Kdo je nejv?tí konkurent ?eské Poji?ovny?,0.011302482
Insurance premiums market in Country,Which are the top airports?,0.18570542
Insurance premiums market in Country,How many fatal air accidents till date?,0.2480028
Insurance premiums market in Country,What is the flow of air traffic in North America?,0.21145377
Insurance premiums market in Country,What is the fleet of Airbus?,0.23275232
Insurance premiums market in Country,Airlines profitability Brazil?,0.3332499
Insurance premiums market in Country,Mergers among airline companies?,0.31235757
Insurance premiums market in Country,Which are the most profitable airports?,0.27769467
Insurance premiums market in Country,What has the capacity movement of airline companies been over the years?,0.30429962
Insurance premiums market in Country,Details of the Aban Abraham oil rig?,0.17296061
Insurance premiums market in Country,How big is the airlines industry in China?,0.34187773
Insurance premiums market in Country,How much money did Lloyd's of London make last year?,0.21510531
Insurance premiums market in Country,What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.36631086
Insurance premiums market in Country,Which Lloyd's syndicates owns the maximum number of assets?,0.28276122
Insurance premiums market in Country,List key performance indicators for AXA?,0.22748959
Insurance premiums market in Country,What are the most prominent legal cases?,0.17730142
Insurance premiums market in Country,How does oil industry perform in Brazil?,0.28895918
Insurance premiums market in Country,What is the main driver of growth in automobile industry in Europe?,0.39084223
Insurance premiums market in Country,Which country in Europe is going to grow the most in 2020?,0.28515562
Insurance premiums market in Country,What are the biggest acquisitions in 2020?,0.28772503
Insurance premiums market in Country,How impacted is the airline industry in 2020?,0.36646104
Insurance premiums market in Country,What are the most prominent bankruptcies in 2020?,0.2985534
"How have the profit margins been for the airlines industry through the years, by regions?",What is the complete profile of the top oil rigs?,0.5926483
"How have the profit margins been for the airlines industry through the years, by regions?",what is company general information?,0.51995033
"How have the profit margins been for the airlines industry through the years, by regions?",How is the airline industry performing globally?,0.7139355
"How have the profit margins been for the airlines industry through the years, by regions?",how does economic profit for in country compare to others?,0.692914
"How have the profit margins been for the airlines industry through the years, by regions?",most profitable insurance company India,0.54417014
"How have the profit margins been for the airlines industry through the years, by regions?",Give me a detailed breakup of the income and expenses in South-East Asia,0.5884458
"How have the profit margins been for the airlines industry through the years, by regions?",Show me all the oil rigs in the world,0.57431054
"How have the profit margins been for the airlines industry through the years, by regions?",What were the premiums earned by the Indian insurance industry in 2020?,0.71107334
"How have the profit margins been for the airlines industry through the years, by regions?",How much have premiums grown as compared to claims for India?,0.63829446
"How have the profit margins been for the airlines industry through the years, by regions?",Which are the best performing insurance firms in India?,0.6221833
"How have the profit margins been for the airlines industry through the years, by regions?",What is the ROE of the Indian market?,0.5690824
"How have the profit margins been for the airlines industry through the years, by regions?",What profits were clocked by Cholamandalam in 2020?,0.68958634
"How have the profit margins been for the airlines industry through the years, by regions?",What is the premiums market share of the top 5 companies in India?,0.71656275
"How have the profit margins been for the airlines industry through the years, by regions?",How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.65603095
"How have the profit margins been for the airlines industry through the years, by regions?",Which are the main distribution channels in India?,0.55820096
"How have the profit margins been for the airlines industry through the years, by regions?",What are the risks in the motor insurance segment in India?,0.6649106
"How have the profit margins been for the airlines industry through the years, by regions?",What is the demand potential of India for insurance?,0.6499571
"How have the profit margins been for the airlines industry through the years, by regions?",How do premiums break down by lines of business in India?,0.6944027
"How have the profit margins been for the airlines industry through the years, by regions?",What is the share price of Qantas?,0.60144824
"How have the profit margins been for the airlines industry through the years, by regions?",How many passengers are carried in ?,0.5907907
"How have the profit margins been for the airlines industry through the years, by regions?",Which are the aircrafts manufactured by Boeing?,0.56677055
"How have the profit margins been for the airlines industry through the years, by regions?",Kdo je nejv?tí konkurent ?eské Poji?ovny?,0.05666179
"How have the profit margins been for the airlines industry through the years, by regions?",Which are the top airports?,0.5218753
"How have the profit margins been for the airlines industry through the years, by regions?",How many fatal air accidents till date?,0.45380843
"How have the profit margins been for the airlines industry through the years, by regions?",What is the flow of air traffic in North America?,0.53340054
"How have the profit margins been for the airlines industry through the years, by regions?",What is the fleet of Airbus?,0.54301804
"How have the profit margins been for the airlines industry through the years, by regions?",Airlines profitability Brazil?,0.48838896
"How have the profit margins been for the airlines industry through the years, by regions?",Mergers among airline companies?,0.46843058
"How have the profit margins been for the airlines industry through the years, by regions?",Which are the most profitable airports?,0.60907364
"How have the profit margins been for the airlines industry through the years, by regions?",What has the capacity movement of airline companies been over the years?,0.7928917
"How have the profit margins been for the airlines industry through the years, by regions?",Details of the Aban Abraham oil rig?,0.34412575
"How have the profit margins been for the airlines industry through the years, by regions?",How big is the airlines industry in China?,0.79550004
"How have the profit margins been for the airlines industry through the years, by regions?",How much money did Lloyd's of London make last year?,0.54404294
"How have the profit margins been for the airlines industry through the years, by regions?",What was the Calendar year COR versus the Accident year COR for Lloyd's?,0.53038263
"How have the profit margins been for the airlines industry through the years, by regions?",Which Lloyd's syndicates owns the maximum number of assets?,0.4819117
"How have the profit margins been for the airlines industry through the years, by regions?",List key performance indicators for AXA?,0.3966261
"How have the profit margins been for the airlines industry through the years, by regions?",What are the most prominent legal cases?,0.51724243
"How have the profit margins been for the airlines industry through the years, by regions?",How does oil industry perform in Brazil?,0.62234694
"How have the profit margins been for the airlines industry through the years, by regions?",What is the main driver of growth in automobile industry in Europe?,0.64575726
"How have the profit margins been for the airlines industry through the years, by regions?",Which country in Europe is going to grow the most in 2020?,0.6148011
"How have the profit margins been for the airlines industry through the years, by regions?",What are the biggest acquisitions in 2020?,0.61228836
"How have the profit margins been for the airlines industry through the years, by regions?",How impacted is the airline industry in 2020?,0.7709206
"How have the profit margins been for the airlines industry through the years, by regions?",What are the most prominent bankruptcies in 2020?,0.5959032
What is the complete profile of the top oil rigs?,what is company general information?,0.5276487
What is the complete profile of the top oil rigs?,How is the airline industry performing globally?,0.5803643
What is the complete profile of the top oil rigs?,how does economic profit for in country compare to others?,0.5342914
What is the complete profile of the top oil rigs?,most profitable insurance company India,0.35821345
What is the complete profile of the top oil rigs?,Give me a detailed breakup of the income and expenses in South-East Asia,0.523083
What is the complete profile of the top oil rigs?,Show me all the oil rigs in the world,0.6307185
What is the complete profile of the top oil rigs?,What were the premiums earned by the Indian insurance industry in 2020?,0.54255337
What is the complete profile of the top oil rigs?,How much have premiums grown as compared to claims for India?,0.4600306
What is the complete profile of the top oil rigs?,Which are the best performing insurance firms in India?,0.6091249
What is the complete profile of the top oil rigs?,What is the ROE of the Indian market?,0.61707795
What is the complete profile of the top oil rigs?,What profits were clocked by Cholamandalam in 2020?,0.44198722
What is the complete profile of the top oil rigs?,What is the premiums market share of the top 5 companies in India?,0.6594606
What is the complete profile of the top oil rigs?,How will the Brazilian insurance market perform in case of a sluggish economic scenario?,0.5570502
What is the complete profile of the top oil rigs?,Which are the main distribution channels in India?,0.59110713
What is the complete profile of the top oil rigs?,What are the risks in the motor insurance segment in India?,0.6213096
What is the complete profile of the top oil rigs?,What is the demand potential of India for insurance?,0.67430896
What is the complete profile of the top oil rigs?,How do premiums break down by lines of business in India?,0.50846887
What is the complete profile of the top oil rigs?,What is the share price of Qantas?,0.63434744
What is the complete profile of the top oil rigs?,How many passengers are carried in ?,0.46425098
What is the complete profile of the top oil rigs?,Which are the aircrafts manufactured by Boeing?,0.50642693
What is the complete profile of the top oil rigs?,Kdo je nejv?tí konkurent ?eské Poji?ovny?,0.025009457
What is the complete profile of the top oil rigs?,Which are the top airports?,0.7107826
What is the complete profile of the top oil rigs?,How many fatal air accidents till date?,0.3570975
What is the complete profile of the top oil rigs?,What is the flow of air traffic in North America?,0.5859259
What is the complete profile of the top oil rigs?,What is the fleet of Airbus?,0.65243506
What is the complete profile of the top oil rigs?,Airlines profitability Brazil?,0.18738803
What is the complete profile of the top oil rigs?,Mergers among airline companies?,0.29127237
What is the complete profile of the top oil rigs?,Which are the most profitable airports?,0.59401864
